,bounding_boxes
266881,"[[2951, 454, 2275, 5570]]"
266880,"[[3667, 564, 2829, 6923]]"
266879,"[[370, 126, 7225, 7110]]"
266878,"[[380, 128, 7397, 7279]]"
266877,"[[3915, 4726, 2738, 869]]"
266876,"[[2426, 1238, 5285, 6398]]"
266875,"[[3357, 1713, 7310, 8852]]"
266874,"[[2401, 1227, 5232, 6334]]"
266873,"[[2613, 1334, 5690, 6888]]"
266872,"[[2513, 3136, 4900, 2769]]"
266887,"[[3561, 2756, 1273, 4285]]"
266943,"[[1816, 2895, 5004, 4166]]"
266888,"[[4088, 3164, 1462, 4920]]"
266890,"[[3809, 2948, 1362, 4584]]"
266905,"[[4110, 3207, 2017, 2518]]"
266904,"[[3922, 3059, 1925, 2403]]"
266903,"[[3808, 2970, 1869, 2333]]"
266902,"[[3802, 2965, 1866, 2329]]"
266901,"[[3574, 2787, 1754, 2190]]"
266900,"[[3554, 2773, 1746, 2178]]"
266899,"[[3876, 3490, 1712, 2221]]"
266898,"[[6600, 5944, 2916, 3779]]"
266897,"[[3966, 3231, 2035, 3452]]"
266896,"[[5356, 3412, 2801, 5091]]"
266895,"[[3415, 3590, 1752, 1184]]"
266894,"[[3391, 3564, 1740, 1176]]"
266893,"[[3738, 3931, 1918, 1297]]"
266892,"[[4630, 3457, 944, 2406]]"
266891,"[[4326, 3349, 1548, 5206]]"
266889,"[[3801, 2943, 1360, 4576]]"
266944,"[[1788, 2853, 4930, 4104]]"
266945,"[[2012, 3207, 5542, 4614]]"
266946,"[[1681, 2682, 4636, 3860]]"
266999,"[[2997, 2522, 4278, 2837]]"
266998,"[[3344, 2815, 4772, 3166]]"
266997,"[[3222, 2712, 4598, 3050]]"
266996,"[[3143, 2645, 4485, 2976]]"
266995,"[[4851, 4083, 6921, 4592]]"
266994,"[[5246, 4415, 7486, 4966]]"
266993,"[[6986, 5283, 7924, 1073]]"
266992,"[[7664, 4309, 1068, 3694]]"
266991,"[[3343, 3069, 3283, 1820]]"
266990,"[[5651, 5562, 1575, 3511]]"
266989,"[[3927, 3865, 1094, 2440]]"
266988,"[[2896, 3471, 3502, 1714]]"
266987,"[[4302, 5154, 5200, 2546]]"
266986,"[[939, 0, 3932, 5730]]"
266985,"[[1222, 0, 5120, 7461]]"
267000,"[[5198, 4373, 7415, 4921]]"
266984,"[[1216, 0, 5088, 7416]]"
267001,"[[3228, 2717, 4605, 3055]]"
267003,"[[4085, 2564, 2978, 5903]]"
267018,"[[4181, 2779, 2026, 5543]]"
267017,"[[5816, 3867, 2819, 7712]]"
267016,"[[4181, 2779, 2026, 5543]]"
267015,"[[3933, 2613, 1906, 5213]]"
267014,"[[7018, 4666, 3402, 9306]]"
267013,"[[6490, 4314, 3144, 8603]]"
267012,"[[6020, 4002, 2917, 7981]]"
267011,"[[4158, 2765, 2015, 5512]]"
267010,"[[4310, 2865, 2089, 5714]]"
267009,"[[4059, 2134, 11034, 5700]]"
267008,"[[1125, 2845, 6618, 3650]]"
267007,"[[1259, 680, 7793, 7007]]"
267006,"[[7535, 6233, 920, 3284]]"
267005,"[[4417, 3655, 539, 1924]]"
267004,"[[4561, 3774, 557, 1988]]"
267002,"[[3747, 2352, 2732, 5416]]"
266262,"[[1698, 2171, 9568, 7740]]"
266983,"[[2452, 3082, 6230, 2192]]"
266981,"[[3562, 923, 6742, 9205]]"
266961,"[[522, 4124, 5320, 1690]]"
266960,"[[849, 6702, 8644, 2747]]"
266959,"[[1637, 3724, 6260, 2287]]"
266958,"[[2004, 4556, 7657, 2796]]"
266957,"[[3817, 3461, 2011, 2142]]"
266956,"[[3658, 3316, 1928, 2053]]"
266955,"[[3910, 3545, 2059, 2193]]"
266954,"[[3651, 3311, 1924, 2049]]"
266953,"[[3500, 3175, 1844, 1963]]"
266952,"[[1757, 841, 6418, 7009]]"
266951,"[[1469, 704, 5368, 5863]]"
266950,"[[3468, 2115, 2955, 4563]]"
266949,"[[1874, 2988, 5164, 4298]]"
266948,"[[1779, 2837, 4904, 4082]]"
266947,"[[1909, 3046, 5264, 4382]]"
266962,"[[478, 3770, 4863, 1546]]"
266982,"[[2648, 3327, 6724, 2366]]"
266963,"[[813, 6428, 8290, 2635]]"
266965,"[[483, 3809, 4913, 1561]]"
266980,"[[2974, 771, 5629, 7686]]"
266979,"[[2417, 627, 4577, 6248]]"
266978,"[[3690, 957, 6985, 9538]]"
266977,"[[2961, 3114, 3015, 2679]]"
266976,"[[2493, 2896, 9515, 6458]]"
266975,"[[1802, 2093, 6879, 4668]]"
266974,"[[2371, 2753, 9045, 6140]]"
266973,"[[1503, 1744, 5734, 3892]]"
266972,"[[2195, 2551, 8381, 5687]]"
266971,"[[3717, 4222, 2628, 2348]]"
266970,"[[3709, 4213, 2622, 2342]]"
266969,"[[552, 4352, 5615, 1784]]"
266968,"[[561, 4432, 5716, 1816]]"
266967,"[[546, 4309, 5559, 1766]]"
266966,"[[881, 6957, 8973, 2852]]"
266964,"[[829, 6543, 8438, 2682]]"
266871,"[[2695, 3363, 5256, 2970]]"
266261,"[[2394, 3535, 5291, 1822]]"
266259,"[[1935, 2860, 4278, 1474]]"
266056,"[[3117, 3692, 2669, 1679]]"
266057,"[[3273, 3879, 2804, 1763]]"
266058,"[[2979, 3531, 2552, 1605]]"
266059,"[[2697, 4574, 7921, 1495]]"
266060,"[[2355, 3995, 6919, 1305]]"
266061,"[[2327, 3943, 6831, 1290]]"
266055,"[[1154, 2887, 8015, 3185]]"
266062,"[[3636, 6163, 10676, 2016]]"
266064,"[[3655, 201, 7444, 7941]]"
266065,"[[2450, 135, 4990, 5323]]"
266066,"[[3033, 168, 6174, 6586]]"
266067,"[[2526, 139, 5142, 5485]]"
266068,"[[2507, 139, 5105, 5446]]"
266069,"[[4043, 223, 8230, 8780]]"
266063,"[[3731, 6327, 10959, 2069]]"
266054,"[[1069, 2673, 7424, 2951]]"
266053,"[[1169, 2923, 8114, 3224]]"
266052,"[[566, 1417, 3938, 1564]]"
266037,"[[3772, 733, 1423, 7471]]"
266038,"[[3802, 738, 1434, 7530]]"
266039,"[[3479, 3020, 1479, 2591]]"
266040,"[[4166, 3616, 1771, 3104]]"
266041,"[[5236, 4547, 2226, 3901]]"
266042,"[[5291, 4595, 2251, 3944]]"
266043,"[[3479, 3020, 1479, 2591]]"
266044,"[[4014, 3485, 1706, 2991]]"
266045,"[[509, 839, 9131, 7304]]"
266046,"[[507, 836, 9093, 7274]]"
266047,"[[486, 800, 8719, 6973]]"
266048,"[[547, 901, 9808, 7845]]"
266049,"[[515, 847, 9221, 7376]]"
266050,"[[509, 839, 9131, 7304]]"
266051,"[[507, 836, 9093, 7274]]"
266070,"[[3952, 219, 8045, 8582]]"
266071,"[[3637, 201, 7407, 7900]]"
266072,"[[4043, 223, 8230, 8780]]"
266073,"[[3762, 207, 7661, 8173]]"
266093,"[[2853, 1166, 7043, 6005]]"
266094,"[[1732, 3823, 11846, 4054]]"
266095,"[[2231, 301, 4875, 7373]]"
266096,"[[3771, 510, 8240, 12462]]"
266097,"[[2457, 333, 5367, 8116]]"
266098,"[[2343, 317, 5119, 7741]]"
266099,"[[1213, 1238, 7994, 6485]]"
266100,"[[4950, 3832, 1405, 3293]]"
266101,"[[4950, 3832, 1405, 3293]]"
266102,"[[2351, 1762, 4881, 4098]]"
266103,"[[2544, 1907, 5280, 4432]]"
266104,"[[2356, 2097, 3929, 3017]]"
266105,"[[2606, 2321, 4349, 3338]]"
266106,"[[2606, 2321, 4349, 3338]]"
266107,"[[3973, 1687, 1939, 6414]]"
266092,"[[4287, 1751, 10584, 9024]]"
266036,"[[5072, 986, 1913, 10045]]"
266091,"[[3053, 3620, 3550, 1478]]"
266089,"[[2197, 3724, 6287, 1316]]"
266074,"[[3906, 1225, 1675, 5138]]"
266075,"[[4203, 1319, 1804, 5530]]"
266076,"[[5340, 1676, 2291, 7026]]"
266077,"[[6283, 1971, 2697, 8269]]"
266078,"[[1467, 2602, 6369, 2619]]"
266079,"[[1432, 2537, 6212, 2554]]"
266080,"[[543, 992, 14022, 9804]]"
266081,"[[522, 954, 13470, 9417]]"
266082,"[[475, 868, 12264, 8574]]"
266083,"[[504, 922, 13032, 9110]]"
266084,"[[524, 959, 13549, 9473]]"
266085,"[[476, 870, 12294, 8595]]"
266086,"[[330, 604, 8541, 5971]]"
266087,"[[2564, 1943, 7970, 5080]]"
266088,"[[3019, 5117, 8639, 1809]]"
266090,"[[2833, 4803, 8108, 1696]]"
266108,"[[3990, 3403, 1819, 1674]]"
266035,"[[2365, 324, 9332, 7895]]"
266033,"[[1536, 2046, 3231, 2958]]"
265981,"[[3443, 1942, 3475, 5814]]"
265982,"[[3186, 1797, 3216, 5379]]"
265983,"[[2984, 1684, 3011, 5038]]"
265984,"[[3409, 1923, 3440, 5757]]"
265985,"[[3249, 1834, 3281, 5487]]"
265986,"[[2575, 1497, 5089, 3521]]"
265980,"[[2994, 1689, 3023, 5057]]"
265987,"[[1992, 1159, 3939, 2726]]"
265989,"[[3052, 2348, 4147, 3351]]"
265990,"[[2761, 2124, 3751, 3031]]"
265991,"[[4576, 5746, 2461, 4357]]"
265992,"[[4079, 2356, 4085, 3092]]"
265993,"[[4231, 2443, 4236, 3207]]"
265994,"[[1171, 2336, 6499, 2180]]"
265988,"[[2413, 1402, 4768, 3300]]"
265979,"[[3056, 1724, 3085, 5161]]"
265978,"[[3403, 1919, 3434, 5745]]"
265977,"[[3403, 1919, 3434, 5745]]"
265962,"[[4043, 3066, 2835, 1110]]"
265963,"[[3747, 2842, 2628, 1028]]"
265964,"[[3364, 2552, 2360, 923]]"
265965,"[[4035, 3061, 2831, 1107]]"
265966,"[[4222, 4043, 1627, 2114]]"
265967,"[[6061, 5442, 1887, 2737]]"
265968,"[[4380, 3932, 1363, 1977]]"
265969,"[[4028, 3087, 1090, 2005]]"
265970,"[[4044, 3100, 1094, 2013]]"
265971,"[[3815, 2923, 1032, 1900]]"
265972,"[[3759, 2880, 1017, 1872]]"
265973,"[[3516, 2696, 952, 1752]]"
265974,"[[3643, 2792, 986, 1815]]"
265975,"[[572, 2646, 6670, 1961]]"
265976,"[[3449, 1946, 3482, 5823]]"
265995,"[[1333, 2656, 7392, 2480]]"
265996,"[[1460, 2910, 8093, 2714]]"
265997,"[[1176, 2345, 6524, 2188]]"
265998,"[[1323, 2637, 7336, 2461]]"
266018,"[[2870, 47, 4451, 8497]]"
266019,"[[2866, 47, 4443, 8481]]"
266020,"[[2959, 48, 4591, 8763]]"
266021,"[[2966, 49, 4600, 8781]]"
266022,"[[3315, 55, 5142, 9815]]"
266023,"[[2936, 49, 4555, 8696]]"
266024,"[[4908, 4464, 626, 3282]]"
266025,"[[4349, 3956, 553, 2908]]"
266026,"[[7462, 6789, 950, 4989]]"
266027,"[[4488, 4083, 571, 3001]]"
266028,"[[3503, 5000, 7257, 4333]]"
266029,"[[2497, 3565, 5174, 3090]]"
266030,"[[2356, 3363, 4881, 2913]]"
266031,"[[3674, 3232, 5623, 1323]]"
266032,"[[3377, 3261, 3213, 2274]]"
266017,"[[3132, 52, 4856, 9269]]"
266034,"[[1451, 4568, 4431, 1367]]"
266016,"[[2870, 47, 4451, 8497]]"
266014,"[[2933, 49, 4547, 8679]]"
265999,"[[1164, 2320, 6455, 2166]]"
266000,"[[1336, 2662, 7408, 2484]]"
266001,"[[79, 1096, 8217, 3299]]"
266002,"[[81, 1121, 8409, 3377]]"
266003,"[[81, 1118, 8392, 3370]]"
266004,"[[63, 856, 6422, 2579]]"
266005,"[[81, 1107, 8304, 3334]]"
266006,"[[81, 1124, 8428, 3384]]"
266007,"[[2102, 1855, 5631, 4436]]"
266008,"[[0, 2797, 5446, 1401]]"
266009,"[[0, 3654, 7114, 1832]]"
266010,"[[0, 4514, 8789, 2262]]"
266011,"[[0, 2758, 5369, 1382]]"
266012,"[[2885, 1774, 2212, 3138]]"
266013,"[[6680, 6340, 2948, 2183]]"
266015,"[[4851, 80, 7523, 14361]]"
266109,"[[4400, 4553, 2898, 1148]]"
266110,"[[1690, 4906, 10814, 2064]]"
266111,"[[3319, 2287, 6233, 6956]]"
266207,"[[994, 9, 7246, 7620]]"
266208,"[[1058, 10, 7719, 8118]]"
266209,"[[1479, 14, 10788, 11344]]"
266210,"[[687, 3060, 8068, 2866]]"
266211,"[[2628, 3423, 6410, 1904]]"
266212,"[[3627, 4725, 8846, 2629]]"
266206,"[[1583, 15, 11544, 12140]]"
266213,"[[2133, 2778, 5201, 1545]]"
266215,"[[3579, 4662, 8731, 2595]]"
266216,"[[2721, 3498, 6814, 2341]]"
266217,"[[2384, 3064, 5969, 2050]]"
266218,"[[2546, 3272, 6375, 2190]]"
266219,"[[6235, 5383, 1229, 6189]]"
266220,"[[6185, 5339, 1220, 6140]]"
266214,"[[2593, 3378, 6324, 1879]]"
266205,"[[3816, 2290, 1893, 3553]]"
266204,"[[3667, 2201, 1818, 3413]]"
266203,"[[3802, 2282, 1885, 3538]]"
266188,"[[1909, 1517, 3304, 4078]]"
266189,"[[1684, 1339, 2915, 3599]]"
266190,"[[5090, 3362, 2551, 4823]]"
266191,"[[3145, 2451, 3398, 3595]]"
266192,"[[5020, 3913, 5426, 5741]]"
266193,"[[5208, 4058, 5627, 5954]]"
266194,"[[3198, 3200, 3660, 1019]]"
266195,"[[6329, 5699, 3721, 2147]]"
266196,"[[5026, 3015, 2493, 4679]]"
266197,"[[3900, 2341, 1934, 3630]]"
266198,"[[3269, 1963, 1622, 3045]]"
266199,"[[3787, 2273, 1879, 3525]]"
266200,"[[3924, 2354, 1947, 3653]]"
266201,"[[5356, 3213, 2657, 4985]]"
266202,"[[6009, 3607, 2981, 5594]]"
266221,"[[3941, 3160, 693, 1716]]"
266222,"[[4635, 3717, 814, 2018]]"
266223,"[[3927, 3149, 689, 1710]]"
266224,"[[3576, 2676, 3954, 1896]]"
266244,"[[6776, 4690, 1353, 8139]]"
266245,"[[6894, 4771, 1377, 8280]]"
266246,"[[7102, 4914, 1417, 8529]]"
266247,"[[2633, 1435, 4812, 4077]]"
266248,"[[1109, 2195, 7121, 4410]]"
266249,"[[52, 2615, 8564, 2494]]"
266250,"[[50, 2489, 8152, 2374]]"
266251,"[[41, 2007, 6573, 1914]]"
266252,"[[1385, 4269, 6397, 2198]]"
266253,"[[1526, 4704, 7048, 2421]]"
266254,"[[28, 1460, 7546, 3538]]"
266255,"[[1392, 2057, 3078, 1059]]"
266256,"[[1928, 2850, 4263, 1467]]"
266257,"[[1394, 2059, 3081, 1061]]"
266258,"[[1604, 2369, 3547, 1221]]"
266243,"[[3633, 3040, 4072, 3125]]"
266187,"[[2715, 2157, 4696, 5799]]"
266242,"[[2952, 1114, 3934, 6194]]"
266240,"[[2674, 1009, 3564, 5610]]"
266225,"[[5247, 3926, 5803, 2783]]"
266226,"[[3696, 2766, 4089, 1961]]"
266227,"[[3660, 2739, 4047, 1941]]"
266228,"[[3355, 2511, 3710, 1779]]"
266229,"[[3843, 2876, 4249, 2037]]"
266230,"[[4992, 3737, 5521, 2647]]"
266231,"[[4939, 3696, 5463, 2619]]"
266232,"[[3273, 2449, 3619, 1735]]"
266233,"[[1530, 2291, 6398, 4273]]"
266234,"[[2790, 1053, 3719, 5855]]"
266235,"[[2869, 1082, 3823, 6020]]"
266236,"[[2631, 993, 3508, 5523]]"
266237,"[[3107, 1172, 4141, 6521]]"
266238,"[[2869, 1082, 3823, 6020]]"
266239,"[[2869, 1082, 3823, 6020]]"
266241,"[[4505, 1702, 6005, 9455]]"
266186,"[[2800, 2226, 4847, 5982]]"
266185,"[[1810, 1438, 3131, 3866]]"
266184,"[[2990, 2375, 5174, 6388]]"
266131,"[[3315, 4051, 2521, 752]]"
266132,"[[3236, 3955, 2461, 734]]"
266133,"[[4555, 5566, 3465, 1034]]"
266134,"[[4543, 5552, 3457, 1030]]"
266135,"[[2689, 3287, 2046, 610]]"
266136,"[[2482, 3283, 6158, 1534]]"
266137,"[[3655, 4833, 9066, 2259]]"
266138,"[[4319, 5710, 10711, 2670]]"
266139,"[[2573, 3402, 6381, 1590]]"
266140,"[[3052, 4036, 7571, 1886]]"
266141,"[[3801, 5024, 9426, 2349]]"
266142,"[[3702, 4895, 9181, 2288]]"
266143,"[[2466, 3261, 6116, 1524]]"
266144,"[[1571, 1733, 6273, 4149]]"
266145,"[[1773, 1954, 7078, 4681]]"
266130,"[[3112, 3804, 2368, 705]]"
266146,"[[1562, 1724, 6241, 4128]]"
266129,"[[3338, 4079, 2539, 758]]"
266127,"[[3462, 3818, 4832, 2344]]"
266112,"[[3665, 2526, 6883, 7681]]"
266113,"[[3737, 2574, 7017, 7832]]"
266114,"[[2249, 1549, 4224, 4715]]"
266115,"[[3576, 2463, 6714, 7493]]"
266116,"[[2419, 1667, 4540, 5068]]"
266117,"[[2032, 1401, 3816, 4258]]"
266118,"[[3427, 2362, 6436, 7182]]"
266119,"[[3474, 3611, 2335, 1294]]"
266120,"[[3369, 3503, 2266, 1256]]"
266121,"[[4505, 2038, 1090, 6370]]"
266122,"[[4524, 2045, 1093, 6393]]"
266123,"[[4497, 2033, 1087, 6356]]"
266124,"[[4381, 1982, 1060, 6192]]"
266125,"[[4497, 2033, 1088, 6355]]"
266126,"[[3402, 3751, 4746, 2302]]"
266128,"[[5240, 5780, 7313, 3546]]"
266260,"[[1348, 1989, 2978, 1025]]"
266147,"[[1895, 2092, 7571, 5007]]"
266149,"[[797, 815, 12701, 9632]]"
266169,"[[696, 75, 8419, 7012]]"
266170,"[[714, 77, 8637, 7194]]"
266171,"[[960, 103, 11623, 9681]]"
266172,"[[716, 77, 8672, 7223]]"
266173,"[[713, 77, 8620, 7180]]"
266174,"[[7403, 4237, 2523, 5251]]"
266175,"[[4964, 2841, 1693, 3521]]"
266176,"[[5009, 2867, 1707, 3553]]"
266177,"[[5001, 2862, 1705, 3547]]"
266178,"[[6715, 3845, 2290, 4763]]"
266179,"[[1814, 33, 4287, 4326]]"
266180,"[[1812, 32, 4278, 4319]]"
266181,"[[2182, 39, 5153, 5200]]"
266182,"[[1844, 32, 4356, 4398]]"
266183,"[[3767, 1452, 1874, 5150]]"
266168,"[[706, 76, 8534, 7110]]"
266148,"[[1892, 2086, 7554, 4996]]"
266167,"[[939, 100, 11350, 9455]]"
266165,"[[680, 73, 8227, 6852]]"
266150,"[[755, 772, 12044, 9135]]"
266151,"[[845, 864, 13476, 10220]]"
266152,"[[900, 921, 14349, 10882]]"
266153,"[[790, 809, 12599, 9556]]"
266154,"[[541, 552, 8608, 6530]]"
266155,"[[614, 627, 9787, 7424]]"
266156,"[[803, 822, 12807, 9713]]"
266157,"[[900, 921, 14349, 10882]]"
